event_a,event_b,shared_scenarios_count,shared_scenarios,jaccard_similarity,total_scenarios_a,total_scenarios_b
PingPacket,packet:packet_in,14,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",1.0,14,14
PingPacket,packet:packet_out,14,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",1.0,14,14
PongPacket,SCChatMessagePacket,14,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",1.0,14,14
PongPacket,SCOneUnitMovementPacket,14,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",1.0,14,14
PongPacket,SCUnitModelPostureChangedPacket,14,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",1.0,14,14
PongPacket,lifecycle:trace_started,14,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",1.0,14,14
PongPacket,packet:packet_in,14,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",1.0,14,14
PongPacket,packet:packet_out,14,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",1.0,14,14
SCChatMessagePacket,SCOneUnitMovementPacket,14,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",1.0,14,14
SCChatMessagePacket,SCUnitModelPostureChangedPacket,14,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",1.0,14,14
SCChatMessagePacket,lifecycle:trace_started,14,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",1.0,14,14
SCChatMessagePacket,packet:packet_in,14,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",1.0,14,14
SCChatMessagePacket,packet:packet_out,14,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",1.0,14,14
SCOneUnitMovementPacket,SCUnitModelPostureChangedPacket,14,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",1.0,14,14
SCOneUnitMovementPacket,lifecycle:trace_started,14,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",1.0,14,14
SCOneUnitMovementPacket,packet:packet_in,14,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",1.0,14,14
SCOneUnitMovementPacket,packet:packet_out,14,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",1.0,14,14
SCUnitModelPostureChangedPacket,lifecycle:trace_started,14,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",1.0,14,14
SCUnitModelPostureChangedPacket,packet:packet_in,14,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",1.0,14,14
SCUnitModelPostureChangedPacket,packet:packet_out,14,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",1.0,14,14
lifecycle:trace_started,packet:packet_in,14,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",1.0,14,14
lifecycle:trace_started,packet:packet_out,14,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",1.0,14,14
packet:packet_in,packet:packet_out,14,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",1.0,14,14
CSMoveUnitPacket,SCTimeOfDayPacket,13,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",0.9286,14,13
CSMoveUnitPacket,lifecycle:trace_stopped,13,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",0.9286,14,13
PingPacket,SCTimeOfDayPacket,13,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",0.9286,14,13
PingPacket,lifecycle:trace_stopped,13,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",0.9286,14,13
PongPacket,SCTimeOfDayPacket,13,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",0.9286,14,13
PongPacket,lifecycle:trace_stopped,13,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",0.9286,14,13
SCChatMessagePacket,SCTimeOfDayPacket,13,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",0.9286,14,13
SCChatMessagePacket,lifecycle:trace_stopped,13,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",0.9286,14,13
SCOneUnitMovementPacket,SCTimeOfDayPacket,13,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",0.9286,14,13
SCOneUnitMovementPacket,lifecycle:trace_stopped,13,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",0.9286,14,13
SCTimeOfDayPacket,SCUnitModelPostureChangedPacket,13,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",0.9286,13,14
SCTimeOfDayPacket,lifecycle:trace_started,13,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",0.9286,13,14
SCTimeOfDayPacket,packet:packet_in,13,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",0.9286,13,14
SCTimeOfDayPacket,packet:packet_out,13,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",0.9286,13,14
SCUnitModelPostureChangedPacket,lifecycle:trace_stopped,13,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",0.9286,14,13
lifecycle:trace_started,lifecycle:trace_stopped,13,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",0.9286,14,13
lifecycle:trace_stopped,packet:packet_in,13,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",0.9286,13,14
lifecycle:trace_stopped,packet:packet_out,13,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",0.9286,13,14
CSMoveUnitPacket,SCTargetChangedPacket,12,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",0.8571,14,12
PingPacket,SCTargetChangedPacket,12,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",0.8571,14,12
PongPacket,SCTargetChangedPacket,12,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",0.8571,14,12
SCChatMessagePacket,SCTargetChangedPacket,12,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",0.8571,14,12
SCOneUnitMovementPacket,SCTargetChangedPacket,12,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",0.8571,14,12
SCTargetChangedPacket,SCTimeOfDayPacket,12,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",0.9231,12,13
SCTargetChangedPacket,SCUnitModelPostureChangedPacket,12,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",0.8571,12,14
SCTargetChangedPacket,lifecycle:trace_started,12,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",0.8571,12,14
SCTargetChangedPacket,packet:packet_in,12,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",0.8571,12,14
SCTargetChangedPacket,packet:packet_out,12,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",0.8571,12,14
SCTimeOfDayPacket,lifecycle:trace_stopped,12,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,mount_horse,pick_potato,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",0.8571,13,13
SCTargetChangedPacket,lifecycle:trace_stopped,11,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,mount_horse,pick_potato,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",0.7857,12,13
CSMoveUnitPacket,CSSendChatMessagePacket,10,"buy_chick,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,sell_items,summon_dismiss_pet,talk_npc",0.7143,14,10
CSMoveUnitPacket,SCItemTaskSuccessPacket,10,"buy_chick,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,use_bag_consumable",0.7143,14,10
CSMoveUnitPacket,SCSkillEndedPacket,10,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,summon_dismiss_pet,use_bag_consumable",0.7143,14,10
CSMoveUnitPacket,SCSkillFiredPacket,10,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,summon_dismiss_pet,use_bag_consumable",0.7143,14,10
CSMoveUnitPacket,SCUnitPointsPacket,10,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,summon_dismiss_pet,use_bag_consumable",0.7143,14,10
CSSendChatMessagePacket,PingPacket,10,"buy_chick,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,sell_items,summon_dismiss_pet,talk_npc",0.7143,10,14
CSSendChatMessagePacket,PongPacket,10,"buy_chick,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,sell_items,summon_dismiss_pet,talk_npc",0.7143,10,14
CSSendChatMessagePacket,SCChatMessagePacket,10,"buy_chick,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,sell_items,summon_dismiss_pet,talk_npc",0.7143,10,14
CSSendChatMessagePacket,SCOneUnitMovementPacket,10,"buy_chick,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,sell_items,summon_dismiss_pet,talk_npc",0.7143,10,14
CSSendChatMessagePacket,SCUnitModelPostureChangedPacket,10,"buy_chick,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,sell_items,summon_dismiss_pet,talk_npc",0.7143,10,14
CSSendChatMessagePacket,lifecycle:trace_started,10,"buy_chick,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,sell_items,summon_dismiss_pet,talk_npc",0.7143,10,14
CSSendChatMessagePacket,packet:packet_in,10,"buy_chick,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,sell_items,summon_dismiss_pet,talk_npc",0.7143,10,14
CSSendChatMessagePacket,packet:packet_out,10,"buy_chick,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,sell_items,summon_dismiss_pet,talk_npc",0.7143,10,14
PingPacket,SCItemTaskSuccessPacket,10,"buy_chick,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,use_bag_consumable",0.7143,14,10
PingPacket,SCSkillEndedPacket,10,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,summon_dismiss_pet,use_bag_consumable",0.7143,14,10
PingPacket,SCSkillFiredPacket,10,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,summon_dismiss_pet,use_bag_consumable",0.7143,14,10
PingPacket,SCUnitPointsPacket,10,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,summon_dismiss_pet,use_bag_consumable",0.7143,14,10
PongPacket,SCItemTaskSuccessPacket,10,"buy_chick,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,use_bag_consumable",0.7143,14,10
PongPacket,SCSkillEndedPacket,10,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,summon_dismiss_pet,use_bag_consumable",0.7143,14,10
PongPacket,SCSkillFiredPacket,10,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,summon_dismiss_pet,use_bag_consumable",0.7143,14,10
PongPacket,SCUnitPointsPacket,10,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,summon_dismiss_pet,use_bag_consumable",0.7143,14,10
SCChatMessagePacket,SCItemTaskSuccessPacket,10,"buy_chick,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,use_bag_consumable",0.7143,14,10
SCChatMessagePacket,SCSkillEndedPacket,10,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,summon_dismiss_pet,use_bag_consumable",0.7143,14,10
SCChatMessagePacket,SCSkillFiredPacket,10,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,summon_dismiss_pet,use_bag_consumable",0.7143,14,10
SCChatMessagePacket,SCUnitPointsPacket,10,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,summon_dismiss_pet,use_bag_consumable",0.7143,14,10
SCItemTaskSuccessPacket,SCOneUnitMovementPacket,10,"buy_chick,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,use_bag_consumable",0.7143,10,14
SCItemTaskSuccessPacket,SCUnitModelPostureChangedPacket,10,"buy_chick,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,use_bag_consumable",0.7143,10,14
SCItemTaskSuccessPacket,lifecycle:trace_started,10,"buy_chick,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,use_bag_consumable",0.7143,10,14
SCItemTaskSuccessPacket,packet:packet_in,10,"buy_chick,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,use_bag_consumable",0.7143,10,14
SCItemTaskSuccessPacket,packet:packet_out,10,"buy_chick,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,use_bag_consumable",0.7143,10,14
SCOneUnitMovementPacket,SCSkillEndedPacket,10,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,summon_dismiss_pet,use_bag_consumable",0.7143,14,10
SCOneUnitMovementPacket,SCSkillFiredPacket,10,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,summon_dismiss_pet,use_bag_consumable",0.7143,14,10
SCOneUnitMovementPacket,SCUnitPointsPacket,10,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,summon_dismiss_pet,use_bag_consumable",0.7143,14,10
SCSkillEndedPacket,SCSkillFiredPacket,10,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,summon_dismiss_pet,use_bag_consumable",1.0,10,10
SCSkillEndedPacket,SCTargetChangedPacket,10,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,summon_dismiss_pet,use_bag_consumable",0.8333,10,12
SCSkillEndedPacket,SCTimeOfDayPacket,10,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,summon_dismiss_pet,use_bag_consumable",0.7692,10,13
SCSkillEndedPacket,SCUnitModelPostureChangedPacket,10,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,summon_dismiss_pet,use_bag_consumable",0.7143,10,14
SCSkillEndedPacket,SCUnitPointsPacket,10,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,summon_dismiss_pet,use_bag_consumable",1.0,10,10
SCSkillEndedPacket,lifecycle:trace_started,10,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,summon_dismiss_pet,use_bag_consumable",0.7143,10,14
SCSkillEndedPacket,packet:packet_in,10,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,summon_dismiss_pet,use_bag_consumable",0.7143,10,14
SCSkillEndedPacket,packet:packet_out,10,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,summon_dismiss_pet,use_bag_consumable",0.7143,10,14
