pattern_type,sequence,count,scenarios_count,scenarios
2-gram,skill:skill_requested -> skill:instant_cast,61,6,"combat_basic_melee,combat_basic_ranged,mount_horse,quest_accept_and_turnin,summon_dismiss_pet,use_bag_consumable"
2-gram,SCSkillEndedPacket -> FastPongPacket,54,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
2-gram,SCSkillFiredPacket -> CSStartSkillPacket,52,2,"combat_basic_ranged,quest_accept_and_turnin"
3-gram,FastPingPacket -> FastPongPacket -> FastPingPacket,2573,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
3-gram,FastPongPacket -> FastPingPacket -> FastPongPacket,2571,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
3-gram,movement -> FastPongPacket -> FastPingPacket,1235,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
3-gram,movement -> SCTargetChangedPacket -> movement,1189,7,"combat_basic_melee,combat_basic_ranged,dismount_horse,human_potato_plant,pick_potato,quest_accept_and_turnin,use_bag_consumable"
3-gram,SCTargetChangedPacket -> movement -> FastPongPacket,963,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
3-gram,FastPongPacket -> FastPingPacket -> movement,842,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
3-gram,FastPingPacket -> movement -> SCTargetChangedPacket,617,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
3-gram,SCTargetChangedPacket -> movement -> SCTargetChangedPacket,506,4,"combat_basic_melee,combat_basic_ranged,dismount_horse,quest_accept_and_turnin"
3-gram,FastPongPacket -> FastPingPacket -> SCTargetChangedPacket,452,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
3-gram,FastPingPacket -> SCTargetChangedPacket -> movement,452,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
3-gram,FastPingPacket -> movement -> FastPongPacket,202,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
3-gram,FastPongPacket -> FastPingPacket -> SCUnitPointsPacket,117,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
3-gram,SCTargetChangedPacket -> movement -> SCUnitPointsPacket,106,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
3-gram,SCTargetChangedPacket -> movement -> skill:skill_requested,99,2,"combat_basic_ranged,quest_accept_and_turnin"
3-gram,skill:instant_cast -> SCUnitPointsPacket -> SCSkillFiredPacket,91,6,"combat_basic_melee,combat_basic_ranged,mount_horse,quest_accept_and_turnin,summon_dismiss_pet,use_bag_consumable"
3-gram,SCUnitPointsPacket -> SCSkillFiredPacket -> SCUnitPointsPacket,84,3,"combat_basic_melee,quest_accept_and_turnin,use_bag_consumable"
3-gram,CSStartSkillPacket -> FastPongPacket -> FastPingPacket,84,2,"combat_basic_ranged,quest_accept_and_turnin"
3-gram,SCUnitPointsPacket -> SCAiAggroPacket -> CompressedGamePackets,70,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
3-gram,SCAiAggroPacket -> CompressedGamePackets -> SCSkillEndedPacket,70,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
3-gram,movement -> SCUnitPointsPacket -> SCSkillFiredPacket,64,7,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,pick_potato,quest_accept_and_turnin"
3-gram,SCUnitPointsPacket -> FastPongPacket -> FastPingPacket,64,2,"combat_basic_melee,quest_accept_and_turnin"
3-gram,CompressedGamePackets -> SCSkillEndedPacket -> movement,62,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
3-gram,skill:skill_requested -> skill:instant_cast -> SCUnitPointsPacket,61,6,"combat_basic_melee,combat_basic_ranged,mount_horse,quest_accept_and_turnin,summon_dismiss_pet,use_bag_consumable"
3-gram,movement -> skill:skill_requested -> CSStartSkillPacket,60,1,quest_accept_and_turnin
3-gram,movement -> skill:skill_requested -> skill:instant_cast,56,6,"combat_basic_melee,combat_basic_ranged,mount_horse,quest_accept_and_turnin,summon_dismiss_pet,use_bag_consumable"
