packet,direction,observed_count,scenarios_seen,observed,known_to_repo,source_path,opcode,status
SCCombatClearedPacket,S2C,15,3,True,True,AAEmu.Game/Core/Packets/G2C/SCCombatClearedPacket.cs,0x086,OBSERVED_AND_KNOWN
SCCombatFirstHitPacket,S2C,15,3,True,True,AAEmu.Game/Core/Packets/G2C/SCCombatFirstHitPacket.cs,0x089,OBSERVED_AND_KNOWN
SCQuestContextUpdatedPacket,S2C,15,3,True,True,AAEmu.Game/Core/Packets/G2C/SCQuestContextUpdatedPacket.cs,0x149,OBSERVED_AND_KNOWN
SCPlotEndedPacket,S2C,12,1,True,True,AAEmu.Game/Core/Packets/G2C/SCPlotEndedPacket.cs,0x0AF,OBSERVED_AND_KNOWN
SCSkillStartedPacket,S2C,11,4,True,True,AAEmu.Game/Core/Packets/G2C/SCSkillStartedPacket.cs,0x0A1,OBSERVED_AND_KNOWN
CSInteractNPCPacket,C2S,9,6,True,True,AAEmu.Game/Core/Packets/C2G/CSInteractNPCPacket.cs,0x065,OBSERVED_AND_KNOWN
CSStartInteractionPacket,C2S,8,6,True,True,AAEmu.Game/Core/Packets/C2G/CSStartInteractionPacket.cs,0x068,OBSERVED_AND_KNOWN
SCAggroTargetChangedPacket,S2C,8,3,True,True,AAEmu.Game/Core/Packets/G2C/SCAggroTargetChangedPacket.cs,0x1BD,OBSERVED_AND_KNOWN
SCNpcInteractionSkillListPacket,S2C,8,6,True,True,AAEmu.Game/Core/Packets/G2C/SCNpcInteractionSkillListPacket.cs,0x07B,OBSERVED_AND_KNOWN
SCDoodadCreatedPacket,S2C,7,3,True,True,AAEmu.Game/Core/Packets/G2C/SCDoodadCreatedPacket.cs,0x10C,OBSERVED_AND_KNOWN
SCUnitDeathPacket,S2C,7,3,True,True,AAEmu.Game/Core/Packets/G2C/SCUnitDeathPacket.cs,0x071,OBSERVED_AND_KNOWN
SCDoodadPhaseChangedPacket,S2C,6,3,True,True,AAEmu.Game/Core/Packets/G2C/SCDoodadPhaseChangedPacket.cs,0x10F,OBSERVED_AND_KNOWN
SCDoodadRemovedPacket,S2C,6,2,True,True,AAEmu.Game/Core/Packets/G2C/SCDoodadRemovedPacket.cs,0x10D,OBSERVED_AND_KNOWN
CSNotifySubZonePacket,C2S,5,1,True,True,AAEmu.Game/Core/Packets/C2G/CSNotifySubZonePacket.cs,0x112,OBSERVED_AND_KNOWN
CSChangeMateTargetPacket,C2S,4,3,True,True,AAEmu.Game/Core/Packets/C2G/CSChangeMateTargetPacket.cs,0x0A5,OBSERVED_AND_KNOWN
SCMateSpawnedPacket,S2C,4,3,True,True,AAEmu.Game/Core/Packets/G2C/SCMateSpawnedPacket.cs,0x125,OBSERVED_AND_KNOWN
SCMateStatePacket,S2C,4,3,True,True,AAEmu.Game/Core/Packets/G2C/SCMateStatePacket.cs,0x1AC,OBSERVED_AND_KNOWN
CSInteractNPCEndPacket,C2S,3,3,True,True,AAEmu.Game/Core/Packets/C2G/CSInteractNPCEndPacket.cs,0x066,OBSERVED_AND_KNOWN
CSMountMatePacket,C2S,3,2,True,True,AAEmu.Game/Core/Packets/C2G/CSMountMatePacket.cs,0x0A7,OBSERVED_AND_KNOWN
CSRemoveMatePacket,C2S,3,2,True,True,AAEmu.Game/Core/Packets/C2G/CSRemoveMatePacket.cs,0x0A4,OBSERVED_AND_KNOWN
CSUnMountMatePacket,C2S,3,2,True,True,AAEmu.Game/Core/Packets/C2G/CSUnMountMatePacket.cs,0x0A8,OBSERVED_AND_KNOWN
SCErrorMsgPacket,S2C,3,3,True,True,AAEmu.Game/Core/Packets/G2C/SCErrorMsgPacket.cs,0x10A,OBSERVED_AND_KNOWN
SCExpChangedPacket,S2C,3,3,True,True,AAEmu.Game/Core/Packets/G2C/SCExpChangedPacket.cs,0x0FE,OBSERVED_AND_KNOWN
SCUnitAttachedPacket,S2C,3,2,True,True,AAEmu.Game/Core/Packets/G2C/SCUnitAttachedPacket.cs,0x076,OBSERVED_AND_KNOWN
SCUnitDetachedPacket,S2C,3,2,True,True,AAEmu.Game/Core/Packets/G2C/SCUnitDetachedPacket.cs,0x077,OBSERVED_AND_KNOWN
CSBuyItemsPacket,C2S,2,2,True,True,AAEmu.Game/Core/Packets/C2G/CSBuyItemsPacket.cs,0x0AE,OBSERVED_AND_KNOWN
CSCreateDoodadPacket,C2S,2,2,True,True,AAEmu.Game/Core/Packets/C2G/CSCreateDoodadPacket.cs,0x0E6,OBSERVED_AND_KNOWN
CSListSoldItemPacket,C2S,2,1,True,True,AAEmu.Game/Core/Packets/C2G/CSListSoldItemPacket.cs,0x0B1,OBSERVED_AND_KNOWN
SCBmPointPacket,S2C,2,2,True,True,AAEmu.Game/Core/Packets/G2C/SCBmPointPacket.cs,0x046,OBSERVED_AND_KNOWN
SCCastingStoppedPacket,S2C,2,1,True,True,AAEmu.Game/Core/Packets/G2C/SCCastingStoppedPacket.cs,0x0A5,OBSERVED_AND_KNOWN
SCCharacterLaborPowerChangedPacket,S2C,2,2,True,True,AAEmu.Game/Core/Packets/G2C/SCCharacterLaborPowerChangedPacket.cs,0x045,OBSERVED_AND_KNOWN
SCGamePointChangedPacket,S2C,2,2,True,True,AAEmu.Game/Core/Packets/G2C/SCGamePointChangedPacket.cs,0x189,OBSERVED_AND_KNOWN
SCICSCashPointPacket,S2C,2,2,True,True,AAEmu.Game/Core/Packets/G2C/SCICSCashPointPacket.cs,0x1D6,OBSERVED_AND_KNOWN
SCQuestContextStartedPacket,S2C,2,2,True,True,AAEmu.Game/Core/Packets/G2C/SCQuestContextStartedPacket.cs,0x147,OBSERVED_AND_KNOWN
SCSoldItemListPacket,S2C,2,1,True,True,AAEmu.Game/Core/Packets/G2C/SCSoldItemListPacket.cs,0x12C,OBSERVED_AND_KNOWN
CSCompleteQuestContextPacket,C2S,1,1,True,True,AAEmu.Game/Core/Packets/C2G/CSCompleteQuestContextPacket.cs,0x0D6,OBSERVED_AND_KNOWN
CSSaveTutorialPacket,C2S,1,1,True,True,AAEmu.Game/Core/Packets/C2G/CSSaveTutorialPacket.cs,0x0F5,OBSERVED_AND_KNOWN
CSSellItemsPacket,C2S,1,1,True,True,AAEmu.Game/Core/Packets/C2G/CSSellItemsPacket.cs,0x0B0,OBSERVED_AND_KNOWN
CSStartQuestContextPacket,C2S,1,1,True,True,AAEmu.Game/Core/Packets/C2G/CSStartQuestContextPacket.cs,0x0D5,OBSERVED_AND_KNOWN
CSUpdateActionSlotPacket,C2S,1,1,True,True,AAEmu.Game/Core/Packets/C2G/CSUpdateActionSlotPacket.cs,0x0B6,OBSERVED_AND_KNOWN
SCChatBubblePacket,S2C,1,1,True,True,AAEmu.Game/Core/Packets/G2C/SCChatBubblePacket.cs,0x154,OBSERVED_AND_KNOWN
SCGotMailPacket,S2C,1,1,True,True,AAEmu.Game/Core/Packets/G2C/SCGotMailPacket.cs,0x118,OBSERVED_AND_KNOWN
SCNpcChatMessagePacket,S2C,1,1,True,True,AAEmu.Game/Core/Packets/G2C/SCNpcChatMessagePacket.cs,0x0CF,OBSERVED_AND_KNOWN
SCPlaySoundPacket,S2C,1,1,True,True,AAEmu.Game/Core/Packets/G2C/SCPlaySoundPacket.cs,0x1DE,OBSERVED_AND_KNOWN
SCQuestContextCompletedPacket,S2C,1,1,True,True,AAEmu.Game/Core/Packets/G2C/SCQuestContextCompletedPacket.cs,0x14B,OBSERVED_AND_KNOWN
SCTutorialSavedPacket,S2C,1,1,True,True,AAEmu.Game/Core/Packets/G2C/SCTutorialSavedPacket.cs,0x1A7,OBSERVED_AND_KNOWN
CACancelEnterWorldPacket,C2S,0,0,False,True,AAEmu.Login/Core/Packets/C2L/CACancelEnterWorldPacket.cs,0x00D,DISCOVERY_LEAD
CAChallengeResponse2Packet,C2S,0,0,False,True,AAEmu.Login/Core/Packets/C2L/CAChallengeResponse2Packet.cs,0x007,DISCOVERY_LEAD
CAChallengeResponsePacket,C2S,0,0,False,True,AAEmu.Login/Core/Packets/C2L/CAChallengeResponsePacket.cs,0x006,DISCOVERY_LEAD
CAEnterWorldPacket,C2S,0,0,False,True,AAEmu.Login/Core/Packets/C2L/CAEnterWorldPacket.cs,0x00C,DISCOVERY_LEAD
CAListWorldPacket,C2S,0,0,False,True,AAEmu.Login/Core/Packets/C2L/CAListWorldPacket.cs,0x00B,DISCOVERY_LEAD
CAOtpNumberPacket,C2S,0,0,False,True,AAEmu.Login/Core/Packets/C2L/CAOtpNumberPacket.cs,0x008,DISCOVERY_LEAD
CAPcCertNumberPacket,C2S,0,0,False,True,AAEmu.Login/Core/Packets/C2L/CAPcCertNumberPacket.cs,0x00A,DISCOVERY_LEAD
CARequestAuthGameOnPacket,C2S,0,0,False,True,AAEmu.Login/Core/Packets/C2L/CARequestAuthGameOnPacket.cs,0x003,DISCOVERY_LEAD
CARequestAuthMailRuPacket,C2S,0,0,False,True,AAEmu.Login/Core/Packets/C2L/CARequestAuthMailRuPacket.cs,0x005,DISCOVERY_LEAD
CARequestAuthPacket,C2S,0,0,False,True,AAEmu.Login/Core/Packets/C2L/CARequestAuthPacket.cs,0x001,DISCOVERY_LEAD
CARequestAuthTencentPacket,C2S,0,0,False,True,AAEmu.Login/Core/Packets/C2L/CARequestAuthTencentPacket.cs,0x002,DISCOVERY_LEAD
CARequestAuthTrionPacket,C2S,0,0,False,True,AAEmu.Login/Core/Packets/C2L/CARequestAuthTrionPacket.cs,0x004,DISCOVERY_LEAD
CARequestReconnectPacket,C2S,0,0,False,True,AAEmu.Login/Core/Packets/C2L/CARequestReconnectPacket.cs,0x00E,DISCOVERY_LEAD
CSAcceptCheatQuestContextPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSAcceptCheatQuestContextPacket.cs,0xFFF,DISCOVERY_LEAD
CSActiveWeaponChangedPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSActiveWeaponChangedPacket.cs,0x08C,DISCOVERY_LEAD
CSAddBlockedUserPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSAddBlockedUserPacket.cs,0x107,DISCOVERY_LEAD
CSAddFriendPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSAddFriendPacket.cs,0x104,DISCOVERY_LEAD
CSAllowHousingRecoverPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSAllowHousingRecoverPacket.cs,0x05D,DISCOVERY_LEAD
CSApplyToInstantGamePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSApplyToInstantGamePacket.cs,0x0E1,DISCOVERY_LEAD
CSAskRiskyTeamActionPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSAskRiskyTeamActionPacket.cs,0x088,DISCOVERY_LEAD
CSAuctionLowestPricePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSAuctionLowestPricePacket.cs,0x0BC,DISCOVERY_LEAD
CSAuctionMyBidListPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSAuctionMyBidListPacket.cs,0x0BB,DISCOVERY_LEAD
CSAuctionPostPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSAuctionPostPacket.cs,0x0B7,DISCOVERY_LEAD
CSAuctionSearchPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSAuctionSearchPacket.cs,0x0B8,DISCOVERY_LEAD
CSBeautyshopDataPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSBeautyshopDataPacket.cs,0x12D,DISCOVERY_LEAD
CSBidAuctionPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSBidAuctionPacket.cs,0x0B9,DISCOVERY_LEAD
CSBindSlavePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSBindSlavePacket.cs,0x031,DISCOVERY_LEAD
CSBoardingTransferPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSBoardingTransferPacket.cs,0x067,DISCOVERY_LEAD
CSBroadcastVisualOptionPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSBroadcastVisualOptionPacket.cs,0x119,DISCOVERY_LEAD
CSBuyCoinItemPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSBuyCoinItemPacket.cs,0x0AF,DISCOVERY_LEAD
CSBuyHousePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSBuyHousePacket.cs,0x060,DISCOVERY_LEAD
CSBuyPriestBuffPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSBuyPriestBuffPacket.cs,0x0B2,DISCOVERY_LEAD
CSBuySpecialtyItemPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSBuySpecialtyItemPacket.cs,0xFFF,DISCOVERY_LEAD
CSCanStartTradePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSCanStartTradePacket.cs,0x0ED,DISCOVERY_LEAD
CSCancelAuctionPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSCancelAuctionPacket.cs,0x0BA,DISCOVERY_LEAD
CSCancelCharacterDeletePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSCancelCharacterDeletePacket.cs,0x027,DISCOVERY_LEAD
CSCancelInstantGamePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSCancelInstantGamePacket.cs,0x0E2,DISCOVERY_LEAD
CSCancelLeaveWorldPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSCancelLeaveWorldPacket.cs,0x002,DISCOVERY_LEAD
CSCancelTradePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSCancelTradePacket.cs,0x0EF,DISCOVERY_LEAD
CSCancelTrialPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSCancelTrialPacket.cs,0x074,DISCOVERY_LEAD
CSCannotStartTradePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSCannotStartTradePacket.cs,0x0EE,DISCOVERY_LEAD
CSChallengeDuelPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSChallengeDuelPacket.cs,0x050,DISCOVERY_LEAD
CSChangeAppellationPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSChangeAppellationPacket.cs,0x0F9,DISCOVERY_LEAD
CSChangeDoodadDataPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSChangeDoodadDataPacket.cs,0x0EB,DISCOVERY_LEAD
CSChangeDoodadPhasePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSChangeDoodadPhasePacket.cs,0x0E9,DISCOVERY_LEAD
CSChangeExpeditionMemberRolePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSChangeExpeditionMemberRolePacket.cs,0x007,DISCOVERY_LEAD
CSChangeExpeditionOwnerPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSChangeExpeditionOwnerPacket.cs,0x008,DISCOVERY_LEAD
CSChangeExpeditionRolePolicyPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSChangeExpeditionRolePolicyPacket.cs,0x006,DISCOVERY_LEAD
CSChangeExpeditionSponsorPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSChangeExpeditionSponsorPacket.cs,0xFFF,DISCOVERY_LEAD
CSChangeHouseNamePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSChangeHouseNamePacket.cs,0x059,DISCOVERY_LEAD
CSChangeHousePayPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSChangeHousePayPacket.cs,0xFFF,DISCOVERY_LEAD
CSChangeHousePermissionPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSChangeHousePermissionPacket.cs,0x05A,DISCOVERY_LEAD
CSChangeItemLookPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSChangeItemLookPacket.cs,0xFFF,DISCOVERY_LEAD
CSChangeLootingRulePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSChangeLootingRulePacket.cs,0x083,DISCOVERY_LEAD
CSChangeMateEquipmentPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSChangeMateEquipmentPacket.cs,0x0A9,DISCOVERY_LEAD
CSChangeMateNamePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSChangeMateNamePacket.cs,0x0A6,DISCOVERY_LEAD
CSChangeMateUserStatePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSChangeMateUserStatePacket.cs,0x0AA,DISCOVERY_LEAD
CSChangeSlaveEquipmentPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSChangeSlaveEquipmentPacket.cs,0x037,DISCOVERY_LEAD
CSChangeSlaveNamePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSChangeSlaveNamePacket.cs,0x034,DISCOVERY_LEAD
CSChangeSlaveTargetPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSChangeSlaveTargetPacket.cs,0xFFF,DISCOVERY_LEAD
CSCharDetailPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSCharDetailPacket.cs,0x106,DISCOVERY_LEAD
CSCleanupLogicLinkPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSCleanupLogicLinkPacket.cs,0x0F7,DISCOVERY_LEAD
CSCofferInteractionPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSCofferInteractionPacket.cs,0x06C,DISCOVERY_LEAD
CSCompletedCinemaPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSCompletedCinemaPacket.cs,0x0CE,DISCOVERY_LEAD
CSConsoleCmdUsedPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSConsoleCmdUsedPacket.cs,0x064,DISCOVERY_LEAD
CSConstructHouseTaxPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSConstructHouseTaxPacket.cs,0x056,DISCOVERY_LEAD
CSConvertItemLookPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSConvertItemLookPacket.cs,0x049,DISCOVERY_LEAD
CSConvertToRaidTeamPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSConvertToRaidTeamPacket.cs,0x080,DISCOVERY_LEAD
CSCreateCharacterPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSCreateCharacterPacket.cs,0x022,DISCOVERY_LEAD
CSCreateExpeditionPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSCreateExpeditionPacket.cs,0x004,DISCOVERY_LEAD
CSCreateHousePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSCreateHousePacket.cs,0x057,DISCOVERY_LEAD
CSCreateShipyardPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSCreateShipyardPacket.cs,0x0FC,DISCOVERY_LEAD
CSCriminalLockedPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSCriminalLockedPacket.cs,0x06E,DISCOVERY_LEAD
CSDecorateHousePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSDecorateHousePacket.cs,0x058,DISCOVERY_LEAD
CSDeleteBlockedUserPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSDeleteBlockedUserPacket.cs,0x108,DISCOVERY_LEAD
CSDeleteCharacterPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSDeleteCharacterPacket.cs,0x024,DISCOVERY_LEAD
CSDeleteFriendPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSDeleteFriendPacket.cs,0x105,DISCOVERY_LEAD
CSDeleteMailPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSDeleteMailPacket.cs,0x0A1,DISCOVERY_LEAD
CSDeletePortalPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSDeletePortalPacket.cs,0x0DF,DISCOVERY_LEAD
CSDepositMoneyPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSDepositMoneyPacket.cs,0x047,DISCOVERY_LEAD
CSDespawnSlavePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSDespawnSlavePacket.cs,0x02F,DISCOVERY_LEAD
CSDestroyItemPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSDestroyItemPacket.cs,0x038,DISCOVERY_LEAD
CSDestroySlavePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSDestroySlavePacket.cs,0x030,DISCOVERY_LEAD
CSDiscardSlavePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSDiscardSlavePacket.cs,0x032,DISCOVERY_LEAD
CSDismissExpeditionPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSDismissExpeditionPacket.cs,0x00B,DISCOVERY_LEAD
CSDismissTeamPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSDismissTeamPacket.cs,0x084,DISCOVERY_LEAD
CSDowngradeExpertLimitPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSDowngradeExpertLimitPacket.cs,0x100,DISCOVERY_LEAD
CSDropQuestContextPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSDropQuestContextPacket.cs,0x0D7,DISCOVERY_LEAD
CSEditCharacterPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSEditCharacterPacket.cs,0x023,DISCOVERY_LEAD
CSEditorGameModePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSEditorGameModePacket.cs,0x02B,DISCOVERY_LEAD
CSEndMusicPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSEndMusicPacket.cs,0x124,DISCOVERY_LEAD
CSEnterBeautySalonPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSEnterBeautySalonPacket.cs,0x12E,DISCOVERY_LEAD
CSEnteredInstantGameWorldPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSEnteredInstantGameWorldPacket.cs,0x0E4,DISCOVERY_LEAD
CSEquipmentsSecurePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSEquipmentsSecurePacket.cs,0x04C,DISCOVERY_LEAD
CSEquipmentsUnsecurePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSEquipmentsUnsecurePacket.cs,0x04D,DISCOVERY_LEAD
CSExitBeautySalonPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSExitBeautySalonPacket.cs,0x12C,DISCOVERY_LEAD
CSExpandExpertPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSExpandExpertPacket.cs,0x101,DISCOVERY_LEAD
