scenario_a,scenario_b,jaccard_similarity,transition_overlap,shared_items_count,distinct_items_count,label
combat_basic_melee,talk_npc,0.4419,0.1,19,24,POSSIBLE RELATED ACTIONS
pick_potato,use_bag_consumable,0.439,0.1111,18,23,POSSIBLE RELATED ACTIONS
mount_horse,pick_potato,0.4348,0.1071,20,26,POSSIBLE RELATED ACTIONS
harvest_chicken,talk_npc,0.4324,0.1515,16,21,POSSIBLE RELATED ACTIONS
summon_dismiss_pet,talk_npc,0.4286,0.0938,15,20,POSSIBLE RELATED ACTIONS
combat_basic_ranged,summon_dismiss_pet,0.4286,0.0882,18,24,POSSIBLE RELATED ACTIONS
combat_basic_melee,summon_dismiss_pet,0.4286,0.0778,21,28,POSSIBLE RELATED ACTIONS
combat_basic_ranged,quest_accept_and_turnin,0.4247,0.213,31,42,POSSIBLE RELATED ACTIONS
place_chick,talk_npc,0.4231,0.1053,11,15,POSSIBLE RELATED ACTIONS
place_chick,use_bag_consumable,0.4231,0.0,11,15,POSSIBLE RELATED ACTIONS
buy_chick,human_potato_plant,0.4186,0.1923,18,25,POSSIBLE RELATED ACTIONS
harvest_chicken,sell_items,0.4146,0.125,17,24,POSSIBLE RELATED ACTIONS
combat_basic_melee,pick_potato,0.4107,0.1237,23,33,POSSIBLE RELATED ACTIONS
sell_items,summon_dismiss_pet,0.4103,0.0769,16,23,POSSIBLE RELATED ACTIONS
dismount_horse,human_potato_plant,0.4091,0.1455,18,26,POSSIBLE RELATED ACTIONS
human_potato_plant,summon_dismiss_pet,0.4082,0.0938,20,29,POSSIBLE RELATED ACTIONS
dismount_horse,place_chick,0.4074,0.0952,11,16,POSSIBLE RELATED ACTIONS
mount_horse,talk_npc,0.4,0.1389,14,21,POSSIBLE RELATED ACTIONS
place_chick,sell_items,0.4,0.12,12,18,POSSIBLE RELATED ACTIONS
combat_basic_ranged,harvest_chicken,0.4,0.1159,18,27,POSSIBLE RELATED ACTIONS
combat_basic_melee,dismount_horse,0.4,0.0714,18,27,POSSIBLE RELATED ACTIONS
talk_npc,use_bag_consumable,0.4,0.0357,12,18,POSSIBLE RELATED ACTIONS
buy_chick,use_bag_consumable,0.4,0.0,12,18,POSSIBLE RELATED ACTIONS
combat_basic_melee,sell_items,0.3958,0.092,19,29,POSSIBLE RELATED ACTIONS
combat_basic_ranged,dismount_horse,0.3947,0.1167,15,23,POSSIBLE RELATED ACTIONS
human_potato_plant,mount_horse,0.3878,0.1014,19,30,POSSIBLE RELATED ACTIONS
buy_chick,dismount_horse,0.3871,0.0741,12,19,POSSIBLE RELATED ACTIONS
human_potato_plant,use_bag_consumable,0.3864,0.1034,17,27,POSSIBLE RELATED ACTIONS
mount_horse,sell_items,0.3846,0.1163,15,24,POSSIBLE RELATED ACTIONS
sell_items,use_bag_consumable,0.3824,0.0286,13,21,POSSIBLE RELATED ACTIONS
combat_basic_melee,mount_horse,0.38,0.0842,19,31,POSSIBLE RELATED ACTIONS
quest_accept_and_turnin,summon_dismiss_pet,0.3784,0.0873,28,46,POSSIBLE RELATED ACTIONS
human_potato_plant,quest_accept_and_turnin,0.378,0.0913,31,51,POSSIBLE RELATED ACTIONS
combat_basic_melee,harvest_chicken,0.3774,0.0989,20,33,POSSIBLE RELATED ACTIONS
mount_horse,place_chick,0.375,0.0588,12,20,POSSIBLE RELATED ACTIONS
pick_potato,talk_npc,0.3721,0.093,16,27,POSSIBLE RELATED ACTIONS
harvest_chicken,place_chick,0.3714,0.0645,13,22,POSSIBLE RELATED ACTIONS
pick_potato,quest_accept_and_turnin,0.3704,0.0567,30,51,POSSIBLE RELATED ACTIONS
combat_basic_ranged,talk_npc,0.3684,0.0317,14,24,POSSIBLE RELATED ACTIONS
human_potato_plant,place_chick,0.3659,0.1429,15,26,POSSIBLE RELATED ACTIONS
mount_horse,quest_accept_and_turnin,0.3649,0.1087,27,47,POSSIBLE RELATED ACTIONS
place_chick,summon_dismiss_pet,0.3636,0.0714,12,21,POSSIBLE RELATED ACTIONS
pick_potato,sell_items,0.3617,0.102,17,30,POSSIBLE RELATED ACTIONS
buy_chick,mount_horse,0.3611,0.05,13,23,POSSIBLE RELATED ACTIONS
combat_basic_ranged,pick_potato,0.3529,0.1316,18,33,POSSIBLE RELATED ACTIONS
buy_chick,summon_dismiss_pet,0.3514,0.0588,13,24,POSSIBLE RELATED ACTIONS
combat_basic_ranged,human_potato_plant,0.3396,0.1111,18,35,DISTINCT ACTIONS
combat_basic_ranged,sell_items,0.3256,0.0435,14,29,DISTINCT ACTIONS
buy_chick,harvest_chicken,0.325,0.0541,13,27,DISTINCT ACTIONS
buy_chick,combat_basic_melee,0.3191,0.0595,15,32,DISTINCT ACTIONS
pick_potato,place_chick,0.3171,0.05,13,28,DISTINCT ACTIONS
buy_chick,combat_basic_ranged,0.3,0.0,12,28,DISTINCT ACTIONS
harvest_chicken,quest_accept_and_turnin,0.2963,0.0413,24,57,DISTINCT ACTIONS
quest_accept_and_turnin,use_bag_consumable,0.2877,0.0611,21,52,DISTINCT ACTIONS
dismount_horse,quest_accept_and_turnin,0.2838,0.0568,21,53,DISTINCT ACTIONS
buy_chick,pick_potato,0.2826,0.0435,13,33,DISTINCT ACTIONS
quest_accept_and_turnin,talk_npc,0.2703,0.0345,20,54,DISTINCT ACTIONS
combat_basic_ranged,place_chick,0.2703,0.0,10,27,DISTINCT ACTIONS
quest_accept_and_turnin,sell_items,0.2692,0.0422,21,57,DISTINCT ACTIONS
buy_chick,quest_accept_and_turnin,0.2208,0.0255,17,60,DISTINCT ACTIONS
combat_basic_melee,place_chick,0.2128,0.0,10,37,DISTINCT ACTIONS
place_chick,quest_accept_and_turnin,0.1558,0.0043,12,65,DISTINCT ACTIONS
